paper_id,title,year_version,inputs,dataset,relevance,limitation,source_url,source_sheet,source_row
P13,Do not sleep on traditional machine learning: Simple and interpretable techniques are competitive to deep learning for sleep scoring,2023,EEG / EOG / EMG combinations,SC20; SC78; ST; MASS,CatBoost و رگرسیون لجستیک؛ خط پایه کلاسیک مناسب,Scratch، انتقال مستقیم و تنظیم مجدد جدا گزارش شده‌اند,https://arxiv.org/pdf/2207.07753,مقالات,17
P14,ZleepAnlystNet,2024,Single EEG,Sleep-EDF 2013 and 2018,مرجع جدیدتر تک‌کاناله در EDF-20,در این فایل فقط نتیجه Fpz-Cz سال 2013 نقل شده است,https://www.nature.com/articles/s41598-024-60796-y,مقالات,18
P15,DeepSleepNet-Lite,2021 preprint / 2022 publication,Single EEG,Sleep-EDF 2013 and 2018,مدل کم‌حجم همراه با تخمین عدم‌قطعیت,ارقام اصلی با پوشش همه اپوک‌ها؛ نتایج پس از حذف اپوک‌های نامطمئن جدا هستند,https://arxiv.org/pdf/2108.10600,مقالات,19
P16,Dreem Open Datasets: Multi-Scored Sleep Datasets to Compare Human and Automated Sleep Staging — SimpleSleepNet,2020,Multichannel PSG; single-channel ablation,DOD-H; DOD-O; multiple human scorers,آزمون چندارزیاب و انتقال بین جمعیت‌ها,F1 عنوان‌شده در مقاله بدون روشن کردن وزن‌دهی به‌عنوان Macro-F1 وارد نشده است,https://arxiv.org/pdf/1911.03221,مقالات,20
P17,RobustSleepNet: Transfer learning for automated sleep staging at scale,2021,Variable EEG/EOG montage,Eight datasets; leave-one-dataset-out,مرجع مستقیم برای تعمیم به دیتاست جدید,97% در چکیده سهمی از عملکرد درون‌داده‌ای است، نه F1 مطلق 97%,https://arxiv.org/abs/2101.02452,مقالات,21
P18,U-Sleep: resilient high-frequency sleep staging,2021,EEG + EOG; channel-pair aggregation,Large multi-cohort training; unseen cohorts,خط پایه تعمیم و مونتاژهای متغیر,میانگین روی دیتاست‌ها را با Macro-F1 تجمیعی پروژه مقایسه مستقیم نکنید,https://www.nature.com/articles/s41746-021-00440-5,مقالات,22
P19,"PFTSleep — A foundational transformer leveraging full night, multichannel sleep study data accurately classifies sleep stages",2025,Full-night multichannel PSG,Held-out; APPLES; MESA; MrOS,اثر پیش‌آموزش وسیع و افت تعمیم بیرونی,کاپای آزمون داخلی و خارجی، و نتیجه پس از fine-tuning، مجزا هستند,https://pubmed.ncbi.nlm.nih.gov/40080690/,مقالات,23
P20,SLEEPYLAND: trust begins with fair evaluation of automatic sleep staging models — SOMNUS,2025 online; arXiv v2,EEG/EOG ensembles; channel-derivation voting,17 in-domain cohorts; OOD including SEDF and DOD,مهم برای آزمون منصفانه؛ نتایج تجمیعی و شبانه مجزا,ارقام این فایل از Supplementary Table 3 نسخه v2؛ SEDF خارج‌ازدامنه است,https://arxiv.org/html/2506.08574v2,مقالات,24
P21,SleepFM — A multimodal sleep foundation model for disease prediction,2026,Multimodal PSG,Multiple cohorts; external validation,مدل بنیادین و نمایش‌های قابل انتقال,معیارهای پیش‌بینی بیماری را با معیار مرحله‌بندی خواب مخلوط نکنید,https://www.nature.com/articles/s41591-025-04133-4,مقالات,25
P22,SleepDG: Generalizable Sleep Staging via Multi-Level Domain Alignment,2024,Multimodal sleep signals,Five datasets; domain generalization,آزمون بدون استفاده از دیتاست مقصد در آموزش,نسخه اصلاح‌شده arXiv v3 مبناست؛ شناسه داده‌ها در نسخه AAAI اصلاح شده,https://arxiv.org/html/2401.05363v3,مقالات,26
P23,SalientSleepNet: Multimodal Salient Wave Detection Network for Sleep Staging,2021,EEG + EOG,EDF-39; EDF-153,مقایسه مناسب دوکاناله و استخراج موج‌های شاخص,20-fold cross-subject؛ کپا در جدول اصلی گزارش نشده,https://www.ijcai.org/proceedings/2021/0360.pdf,مقالات,27
P24,YASA automated sleep staging performance across seven nights of normal sleep and sleep restriction,2026,EEG + EOG + EMG,75 adults; 483 nights; independent laboratory,اعتبارسنجی مستقل خود YASA در خواب عادی و محدودشده,82.9% توافق گزارش‌شده؛ پنجره lights-out/lights-on، نه داده EDF پروژه,https://link.springer.com/article/10.1007/s44470-026-00059-x,مقالات,28
P25,Improving Automatic Sleep Staging Via Temporal Smoothness Regularization,2023,Single EEG,EDF-20; subject-wise CV,نزدیک به ایده اصلاح زمانی پروژه؛ regularization حین آموزش,پس‌پردازش مارکوفی نیست؛ منظم‌سازی بیش‌ازحد می‌تواند بدتر کند,https://api.unil.ch/iris/server/api/core/bitstreams/4c6f4de9-d179-4888-8311-a6ce23042f7d/content,مقالات,29
P26,A convolutional neural network for sleep stage scoring from raw single-channel EEG — Sors et al.,2018,Single EEG,SHHS,خط پایه CNN روی جمعیت بزرگ,داده، مونتاژ و ترکیب مراحل با EDF متفاوت است؛ اعداد ثانویه وارد نشده,https://www.sciencedirect.com/science/article/pii/S1746809417302847,مقالات,30
P27,A deep learning architecture for temporal sleep stage classification using multivariate and multimodal time series — Chambon et al.,2018; preprint 2017,EEG + EOG + EMG,Multimodal PSG,اثر تعداد کانال و زمینه زمانی,برای مقایسه روش و ورودی؛ عدد ناسازگار به جدول اصلی اضافه نشده,https://arxiv.org/abs/1707.03321,مقالات,31
P28,Neural network analysis of sleep stages enables efficient diagnosis of narcolepsy — Stephansen et al.,2018,Multimodal PSG,Multiple cohorts,Hypnodensity و مدل‌سازی احتمال مراحل,دقت تشخیص نارکولپسی با دقت پنج‌کلاسه خواب یکی نیست,https://www.nature.com/articles/s41467-018-07229-3,مقالات,32
P29,GraphSleepNet: Adaptive Spatial-Temporal Graph Convolutional Networks for Sleep Stage Classification,2020,Multiple EEG channels,MASS-SS3,یادگیری روابط مکانی بین کانال‌ها و زمینه زمانی,ورودی چند EEG با دوکاناله EEG+EOG پروژه یکسان نیست,https://www.ijcai.org/proceedings/2020/184,مقالات,33
P30,TransSleep: Transitioning-Aware Attention-Based Deep Neural Network for Sleep Staging,2023 publication; numerical source: 2022 preprint,Single EEG,EDF; MASS,تشخیص اپوک گذار و مراحل مبهم؛ بسیار مرتبط با اصلاح زمانی,اعداد درج‌شده متعلق به Table 2 پیش‌چاپ 2022 است، نه لزوماً نسخه نهایی,https://arxiv.org/pdf/2203.12590,مقالات,34
P31,AISleep: Automated and interpretable sleep staging,2025,Single EEG,Healthy public cohorts; clinical cohorts,مرحله‌بندی بدون‌نظارت و قابل‌تفسیر,پروتکل بدون‌نظارت را با مدل نظارت‌شده پروژه یکسان نگیرید,https://pubmed.ncbi.nlm.nih.gov/41472827/,مقالات,35
